Key,Translation,Category
order.total,Total Amount,order
order.items,Order Items,order
order.date,Order Date,order
order.delivery_address,Delivery Address,order
order.payment_method,Payment Method,order
order.status.pending,Pending,order
order.status.confirmed,Confirmed,order
order.status.preparing,Preparing,order
order.status.ready,Ready for Delivery,order
order.status.delivering,Out for Delivery,order
order.status.delivered,Delivered,order
order.status.cancelled,Cancelled,order
order.unable_to_load_history,Unable to load order history,order
order.order_number,Order #{id},order
order.history,Order History,order
order.estimated_time,Estimated time:,order
order.minutes,minutes,order
order.tracking,Tracking,order
order.next_step,Next step:,order
order.completed_message,Order completed! Thank you for using our service!,order
order.realtime_active,Real-time Active,order
order.realtime_inactive,Real-time Inactive,order
order.login_required_message,You need to log in to view order history and receive real-time updates (every 10 seconds),order
order.from_multiple_restaurants,Order from {count} restaurants,order
order.multi_restaurant_delivery,Order from multiple restaurants - items will be delivered together,order
order.items_count,items,order
order.subtotal,Subtotal,order
order.delivery_fee,Delivery fee,order
order.delivery_from_multiple,Delivery from {count} restaurants,order
order.no_history,No order history,order
order.no_history_message,You have not ordered food or there is no order in this category,order
order.start_ordering,Start ordering,order
order.choose_by_category,Choose by category,order
order.status_updated,Order status updated!,order
order.status.pending_desc,Order received,order
order.status.paid,Paid,order
order.status.paid_desc,Payment successful,order
order.status.preparing_desc,Restaurant is preparing food,order
order.status.ready_for_pickup,Ready for pickup,order
order.status.ready_for_pickup_desc,Food is ready for pickup,order
order.status.delivering_desc,Driver is delivering,order
order.status.completed,Completed,order
order.status.completed_desc,Delivery completed,order
order.status.cancelled_desc,This order has been cancelled,order
order.status_change_notification,Order #{orderId} changed to "{status}",order
order.successful,Order placed successfully!,order
order.cleanup_expired_message,Removed {count} expired orders,order
order.cleanup_not_found_message,Removed {count} orders not found,order
order.completed_removed_message,Order completed and removed from list,order
order.order_id,Order ID: {id},order
order.restaurant_count,Number of restaurants: {count},order
order.total_amount,Total: {total},order 
order.history_cleaned,History cleaned,order
,,
# Cart,,
cart.empty,Your cart is empty,cart
cart.add,Add to Cart,cart
cart.remove,Remove from Cart,cart
cart.clear,Clear Cart,cart
cart.checkout,Checkout,cart
cart.total,Total,cart
cart.items,Items in Cart,cart
cart.add_items,Add items to cart,cart
cart.cart,Cart,cart
cart.order_from_multiple_restaurants,Order from multiple restaurants,cart
cart.restaurants,Restaurants,cart
cart.you_are_ordering_food_from,You are ordering food from,cart
cart.there_are_closed_restaurants_in_the_cart,There are closed restaurants in the cart,cart
cart.please_remove_the_items_from_the_closed_restaurants_before_ordering,Please remove the items from the closed restaurants before ordering,cart
cart.clear_all,Clear all,cart
cart.delivery_address,Delivery address,cart
cart.special_instructions,Special instructions,cart
cart.enter_the_delivery_address_in_detail,"Enter the delivery address in detail, such as house number, street, district, province, postal code",cart
cart.special_instructions_detail,"For example, not spicy, no vegetables, add a spoon",cart
cart.payment_information,Payment information,cart
cart.select_payment_method,Select payment method,cart
cart.bank_transfer,Bank transfer,cart
cart.qr_payment,Qr payment,cart
cart.bank_account_information,Bank account information,cart
cart.bank,Bank,cart
cart.bank_account_number,Bank account number,cart
cart.qr_code_for_payment,Qr code for payment,cart
cart.scan_qr_code_to_pay,Scan qr code to pay,cart
cart.proof_of_payment,Proof of payment,cart
cart.click_to_change_file,Click to change file,cart
cart.click_to_attach_proof_of_payment,Click to attach proof of payment,cart
cart.supports_files_up_to_5mb,"Supports jpg, png files up to 5MB",cart
cart.note,Note,cart
cart.attach_proof,Please attach proof of payment after payment,cart
cart.confirmed_after_check_the_payment,The order will be confirmed after we check the payment,cart
cart.order_summary,Order summary,cart
cart.delivery_fee_is,and the delivery fee is,cart
cart.delivery_fee,Delivery fee,cart
cart.cannot_order_closed_restaurants,Cannot order (closed restaurants),cart
cart.please_enter_the_delivery_address,Please enter the delivery address,cart
cart.processing,Processing….,cart
cart.please_attach_proof_of_payment,Please attach proof of payment,cart
cart.order_from_restaurants,Order from restaurants,cart
cart.back_to_choose_restaurant,Back to choose menu,cart
cart.start_ordering_from_favorite_restaurants,Start ordering from your favorite restaurants,cart
cart.choose_restaurant,Choose restaurant,cart
cart.restaurant,Restaurant,cart
cart.bank_account_name,Bank Account Name,cart
cart.first_restaurant,First restaurant,cart
cart.additional_restaurant,Additional restaurant,cart
,,
# Profile,,
profile.personal_info,Personal Information,profile
profile.update,Update Profile,profile
profile.orders,My Orders,profile
profile.favorites,My Favorites,profile
profile.addresses,My Addresses,profile
profile.notifications,My Notifications,profile
,,
# Error Messages,,
error.general,Something went wrong,error
