Key,Translation,Category
admin.settings.email_order_confirmation,Order confirmation,admin
admin.settings.email_status_updates,Order status updates,admin
admin.settings.sms,SMS,admin
admin.settings.push_notification,Push Notification,admin
admin.settings.authentication,Authentication,admin
admin.settings.enable_2fa,Enable two-factor authentication (2FA),admin
admin.settings.password_policy,Password policy,admin
admin.settings.password_min_length,Minimum length,admin
admin.settings.session_timeout_minutes,Session timeout (minutes),admin
admin.settings.password_require_uppercase,Require uppercase letters,admin
admin.settings.password_require_lowercase,Require lowercase letters,admin
admin.settings.password_require_numbers,Require numbers,admin
admin.settings.password_require_symbols,Require special symbols,admin
admin.settings.commission,Commission,admin
admin.settings.restaurant_commission_rate,General restaurant (%),admin
admin.settings.special_restaurant_commission_rate,Special restaurant (%),admin
admin.settings.restaurant_management,Restaurant management,admin
admin.settings.auto_approve_restaurants,Auto-approve restaurants,admin
admin.settings.require_restaurant_verification,Require restaurant verification,admin
admin.settings.enable_reviews,Enable reviews,admin
admin.settings.max_products_per_restaurant,Max products per restaurant,admin
admin.settings.payout,Payout,admin
admin.settings.minimum_payout_amount,Minimum payout amount,admin
admin.settings.payout_schedule,Payout schedule,admin
admin.settings.payout_daily,Daily,admin
admin.settings.payout_weekly,Weekly,admin
admin.settings.payout_monthly,Monthly,admin
admin.settings.reviews,Reviews,admin
admin.settings.min_review_rating,Minimum review rating,admin
admin.settings.max_review_rating,Maximum review rating,admin
# About,,
about.title,About Us,about
about.mission,Our Mission,about
about.mission_text,We are a leading online food ordering platform that connects customers with high-quality restaurants to enjoy delicious food from their favorite places,about
about.mission_text2,With advanced technology and friendly service we will provide a food ordering experience that is convenient fast and satisfying for you,about
about.popularity,Our Popularity,about
about.best_quality,Best food quality,about
about.fast,Fast,about
about.safe_delivery,Safe delivery,about
about.local_support,Local restaurant support,about
about.vision,Vision,about
about.vision_text,We are a leading online food ordering platform that connects customers with high-quality restaurants to enjoy delicious food from their favorite places,about
about.services,Our Services,about
about.service_fast,Fast,about
about.service_fast_text,Deliver food to your hand within 30-45 minutes,about
about.service_quality,Good quality,about
about.service_quality_text,Restaurant with good quality through selection,about
about.service_payment,Easy payment,about
about.service_payment_text,Support multiple payment methods,about
,,
# Contact,,
contact.title,Contact us,contact
contact.phone,Phone,contact
contact.email,Email,contact
contact.address,Address,contact
contact.hours,Operating hours,contact
contact.hours_text,Monday-Sunday 8:00-22:00,contact
contact.form_title,Send us a message,contact
contact.name,Name,contact
contact.name_placeholder,Enter your name,contact
contact.email_placeholder,Enter your email,contact
contact.subject,Subject,contact
contact.subject_placeholder,Enter the subject of your message,contact
contact.message,Message,contact
contact.message_placeholder,Enter your message,contact
contact.send,Send message,contact
contact.sending,Sending...,contact
contact.success,Message sent successfully. We will contact you within 24 hours,contact
contact.error,Error sending message. Please try again,contact
contact.fill_all,Please fill in all the information,contact
contact.other_ways,Other ways,contact
,,
# Help,,
help.title,Help Center,help
help.faq,Frequently Asked Questions (FAQ),help
help.how_to_order,How to order food,help
help.how_to_order_text,1. Select a restaurant\n2. Select a menu and add to cart\n3. Check the list and fill in the delivery address\n4. Select a payment method and confirm the order,help
help.how_to_pay,How to pay,help
help.how_to_pay_text,We accept payment via credit card debit card bank transfer and cash on delivery (for some areas),help
help.delivery_time,Delivery time,help
help.delivery_time_text,Normally it takes 30-45 minutes depending on the distance and the complexity of the order,help
help.track_order,How to track the order,help
help.track_order_text,"You can track the order status in the ""Order History"" page or via email and SMS",help
help.cancel_order,How to cancel the order,help
help.cancel_order_text,You can cancel the order within 5 minutes after placing the order. If you exceed this time please contact the customer service,help
help.delivery_fee,Delivery fee,help
help.delivery_fee_text,The delivery fee is {fee} and may vary depending on the distance. For orders over {free_delivery_minimum} delivery is free,help
help.contact_us,Contact us,help
help.contact_us_text,If you don't find the answer you're looking for please contact us at:\nPhone: {phone} | Email: {email},help 
,,
# Terms,,
terms.title,Terms of Service,terms
terms.acceptance,1. Acceptance of Terms,terms
terms.acceptance_text,By using our service you agree to comply with all terms and conditions outlined here,terms
terms.account,2. Account Creation,terms
terms.account_text,• You must be at least 18 years old or have parental consent\n• The information provided must be accurate and up-to-date\n• You are responsible for maintaining the security of your password,terms
terms.ordering,3. Ordering and Payment,terms
terms.ordering_text,• The price shown includes tax\n• Payment must be made through the channels we have set up\n• You can cancel the order within 5 minutes after placing the order,terms
terms.delivery,4. Delivery,terms
terms.delivery_text,• We try to deliver on time but there may be delays\n• The recipient must be at least 18 years old or have parental consent\n• If there is no one to receive we will contact you within 15 minutes,terms
terms.refund,5. Refund and Guarantee,terms
terms.refund_text,• If the food has quality issues we will refund or replace it\n• You must report the problem within 1 hour after receiving the food\n• Refunds will be processed within 7-14 business days,terms
terms.liability,6. Limitation of Liability,terms
terms.liability_text,We are not responsible for any damage caused by the use of our service except in cases of our negligence,terms
terms.modification,7. Modification of Terms,terms
terms.modification_text,We reserve the right to modify these terms at any time with advance notice of 30 days,terms
terms.effective_date,Effective date,terms
terms.contact_us,Contact us,terms
,,
# Privacy,,
privacy.title,Privacy Policy,privacy
privacy.intro,Introduction,privacy
privacy.intro_text,This Privacy Policy explains how we collect use and protect your personal information,privacy
privacy.collection,Information We Collect,privacy
privacy.collection_text,• Personal information (name email phone number)\n• Delivery information (address delivery instructions)\n• Payment information\n• Device and usage information,privacy
privacy.use,How We Use Your Information,privacy
privacy.use_text,• To process and deliver your orders\n• To communicate with you about your orders\n• To improve our services\n• To send promotional materials (with your consent),privacy
privacy.sharing,Information Sharing,privacy
privacy.sharing_text,We do not sell your personal information. We share your information only with:\n• Restaurants to fulfill your orders\n• Delivery partners to deliver your orders\n• Payment processors to process payments,privacy
privacy.security,Security,privacy
privacy.security_text,We implement appropriate security measures to protect your personal information,privacy
privacy.cookies,Cookies,privacy
privacy.cookies_text,We use cookies to improve your experience and analyze website traffic,privacy
privacy.rights,Your Rights,privacy
privacy.rights_text,You have the right to:\n• Access your personal information\n• Correct your personal information\n• Delete your personal information\n• Object to processing of your personal information,privacy
privacy.contact,Contact Us About Privacy,privacy
privacy.contact_text,If you have any questions about this Privacy Policy contact us at: {email},privacy
privacy.updates,Updates to This Policy,privacy
privacy.updates_text,We may update this policy from time to time. We will notify you of any significant changes,privacy
notification.new_guest_order,New Guest Order,notification
notification.from,From,notification
notification.view_order,View Order,notification 
# Admin Advertisements,,
admin.advertisements.title,Manage Advertisements/Banners,admin
admin.advertisements.add_button,Add Advertisement,admin
admin.advertisements.edit_title,Edit Advertisement,admin
admin.advertisements.add_title,Add Advertisement,admin
admin.advertisements.image_label,Advertisement Image,admin
admin.advertisements.image_requirements,Recommended: 800x400px | Files: JPG, PNG, GIF, WebP | Size: Max 5MB,admin
admin.advertisements.sort_order_label,Display Order,admin
admin.advertisements.sort_order_help,Lower numbers display first,admin
admin.advertisements.is_active_label,Active,admin
admin.advertisements.order,Order,admin
admin.advertisements.active,Active,admin
admin.advertisements.inactive,Inactive,admin
admin.advertisements.no_advertisements,No advertisements yet,admin
admin.advertisements.click_to_add,Click "Add Advertisement" to get started,admin
admin.advertisements.load_error,Unable to load advertisements,admin
admin.advertisements.select_image_required,Please select an image,admin
admin.advertisements.create_success,Advertisement created successfully,admin
admin.advertisements.update_success,Advertisement updated successfully,admin
admin.advertisements.save_error,Unable to save advertisement,admin
admin.advertisements.delete_confirm,Are you sure you want to delete this advertisement?,admin
admin.advertisements.delete_success,Advertisement deleted successfully,admin
admin.advertisements.delete_error,Unable to delete advertisement,admin
admin.advertisements.file_size_error,File size must not exceed 5MB,admin
admin.advertisements.file_type_error,Only JPG, PNG, GIF and WebP files are supported,admin
admin.manage_advertisements,Manage Advertisements,admin
